ORDER_ID	CLASS
49916	0
49918	0
49920	0
49921	0
49922	0
49925	0
49926	0
49932	0
49934	0
49936	0
49948	0
49950	0
49952	0
49954	0
49955	0
49958	0
49961	0
49963	0
49964	0
49966	0
49971	0
49972	0
49976	0
49977	0
49978	0
49979	0
49980	0
49982	0
49988	0
49990	0
49996	0
49628	0
49631	0
49633	0
49634	0
49635	0
49638	0
49639	0
49642	0
49646	0
49647	0
49649	0
49650	0
49652	0
49653	0
49655	0
49662	0
49664	0
49667	0
49669	0
49672	0
49677	0
49679	0
49680	0
49686	0
49690	0
49692	0
49693	0
49700	0
49701	0
49703	0
49706	0
49707	0
49710	0
49713	0
49718	0
49719	0
49723	0
49724	0
49725	0
49726	0
49727	0
49733	0
49736	0
49737	0
49739	0
49741	0
49747	0
49748	0
49750	0
49752	0
49754	0
49755	0
49757	0
49758	0
49759	0
49764	0
49833	0
49834	0
49836	0
49838	0
49841	0
49847	0
49848	0
49850	0
49851	0
49855	0
49857	0
49858	0
49862	0
49865	0
49867	0
49868	0
49870	0
49871	0
49872	0
49875	0
49879	0
49883	0
49364	0
49365	0
49366	0
49367	0
49368	0
49377	0
49381	0
49382	0
49386	0
49394	0
49395	0
49398	0
49399	0
49405	0
49407	0
49408	0
49410	0
49412	0
49415	0
49416	0
49423	0
49429	0
49433	0
49434	0
49436	0
49438	0
49439	0
49444	0
49447	0
49448	0
49454	0
49455	0
49462	0
49464	0
49465	0
49466	0
49468	0
49469	0
49473	0
49474	0
49483	0
49485	0
49488	0
49490	0
49491	0
49493	0
49494	0
49497	0
49887	0
49889	0
49890	0
49892	0
49893	0
49896	0
49899	0
49901	0
49905	0
49907	0
49908	0
49911	0
49912	0
49914	0
49915	0
45647	0
45648	0
45651	0
45653	0
45654	0
45655	0
45656	0
45657	0
45658	0
45659	0
45391	0
45392	0
45395	0
45396	0
45397	0
45407	0
45414	0
45417	0
45418	0
45425	0
45426	0
45433	0
45434	0
45435	0
45436	0
45438	0
45439	0
45442	0
45444	0
45447	0
45453	0
45454	0
45455	0
45456	0
45461	0
45467	0
45468	0
45470	0
45472	0
45473	0
45474	0
45475	0
45477	0
45479	0
45484	0
45485	0
45488	0
45495	0
45504	0
45505	0
45506	0
45508	0
45516	0
45517	0
45520	0
45522	0
45526	0
45529	0
45531	0
45532	0
45533	0
45534	0
45535	0
45537	0
45538	0
45542	0
45544	0
45551	0
45552	0
45554	0
45559	0
45560	0
45563	0
45565	0
45566	0
45567	0
45569	0
45570	0
45571	0
45572	0
45573	0
45574	0
45576	0
45578	0
45582	0
45585	0
45589	0
45591	0
45595	0
45597	0
45598	0
45599	0
45601	0
